id_x,numero,saldo,id_y,nome,cpf,Faixa_saldo,Faixa_num
1,34828,10980.86,1,Bruno Raphael Andrade Santos,615.019.033-14,Gold (5K - 14K),2
2,63594,2236.49,2,Maria Victoria,123.456.789-10,Platine (1200K - 5K),1
3,5276,5373.46,3,Pedro Miguel ,013.179.063.30,Gold (5K - 14K),2
4,21717,4301.14,4,Kaique Pires,620.983.145-15,Platine (1200K - 5K),1
5,13005,1421.19,5,Brayan Duarte,269.451.730-70,Platine (1200K - 5K),1
6,29634,678.08,6,Rafael Leão,265.041.397-25,Silver (<1200K),0
7,54096,2255.62,7,Isis Costa,490.287.536-56,Platine (1200K - 5K),1
8,44148,1668.57,8,Eduarda Dias,409.782.613-13,Platine (1200K - 5K),1
9,53843,3093.96,9,Yasmin Fonseca,810.279.435-60,Platine (1200K - 5K),1
10,34989,2231.65,10,Dr. Luiz Gustavo Rodrigues,783.904.265-10,Platine (1200K - 5K),1
11,60598,4875.31,11,Thales Viana,472.830.561-90,Platine (1200K - 5K),1
12,45496,415.67,12,Ana Vitória Pastor,032.467.589-56,Silver (<1200K),0
13,11649,774.69,13,Dr. Thiago Santos,652.987.043-10,Silver (<1200K),0
14,93440,1386.21,14,Diogo da Mata,321.496.870-03,Platine (1200K - 5K),1
15,56829,4852.4,15,Maria Júlia Albuquerque,365.291.470-80,Platine (1200K - 5K),1
16,22473,2904.26,16,Nicole Ramos,186.427.359-37,Platine (1200K - 5K),1
17,90449,3174.06,17,Valentina Viana,647.023.581-62,Platine (1200K - 5K),1
18,47017,1469.88,18,Manuella da Mota,349.058.172-50,Platine (1200K - 5K),1
19,25194,1084.71,19,Ana Beatriz Mendonça,498.172.306-78,Silver (<1200K),0
20,31517,542.53,20,Renan da Cunha,634.782.019-69,Silver (<1200K),0
21,33525,4822.89,21,Gabriel Garcia,953.208.176-30,Platine (1200K - 5K),1
22,90231,858.84,22,Clarice Souza,138.926.047-03,Silver (<1200K),0
23,95109,4664.19,23,Melina Viana,984.761.532-28,Platine (1200K - 5K),1
24,50541,3468.57,24,Maria Cecília Costela,874.510.963-00,Platine (1200K - 5K),1
25,78355,4768.49,25,Hadassa Santos,842.037.659-00,Platine (1200K - 5K),1
26,91701,1464.63,26,Sra. Catarina Moraes,157.392.406-70,Platine (1200K - 5K),1
27,14698,3777.96,27,Calebe Pinto,851.249.307-05,Platine (1200K - 5K),1
28,55090,3538.17,28,Pedro Mendonça,932.147.560-52,Platine (1200K - 5K),1
29,81563,3302.43,29,Apollo da Cunha,907.345.681-93,Platine (1200K - 5K),1
30,17967,2961.11,30,Sra. Sarah Jesus,570.213.486-90,Platine (1200K - 5K),1
31,50229,196.85,31,Rafaela Araújo,296.471.835-00,Silver (<1200K),0
32,43963,3075.75,32,Dra. Alexia da Rocha,287.639.105-86,Platine (1200K - 5K),1
33,16915,3091.49,33,Mateus Almeida,032.459.876-92,Platine (1200K - 5K),1
34,18932,2978.04,34,Vitor Sousa,645.013.897-10,Platine (1200K - 5K),1
35,49863,2537.48,35,Isadora Pires,682.049.513-70,Platine (1200K - 5K),1
36,46144,449.78,36,Mariah Gonçalves,671.594.803-84,Silver (<1200K),0
37,36224,3830.08,37,Dr. João Lucas Cunha,493.617.085-20,Platine (1200K - 5K),1
38,96020,2169.62,38,Léo Rios,792.534.801-14,Platine (1200K - 5K),1
39,25238,4280.25,39,Juan Nascimento,856.719.240-49,Platine (1200K - 5K),1
40,5891,3518.76,40,Sr. Calebe Sales,158.302.694-06,Platine (1200K - 5K),1
41,97831,4437.86,41,Apollo Barbosa,063.215.498-51,Platine (1200K - 5K),1
42,10241,3438.78,42,Joana Mendonça,194.058.236-98,Platine (1200K - 5K),1
43,1965,1795.42,43,Breno Dias,851.473.692-28,Platine (1200K - 5K),1
44,61769,4257.42,44,Théo Machado,817.209.346-22,Platine (1200K - 5K),1
45,44771,1875.74,45,Joaquim da Mota,609.852.734-29,Platine (1200K - 5K),1
46,59719,2878.1,46,Antônio Campos,956.840.321-33,Platine (1200K - 5K),1
